order_id,order_date,region,city,category,product,quantity,unit_price,amount,customer
ORD20240478,2024-01-01,华南,广州,电子产品,笔记本电脑,4,5335.53,21342.12,张三
ORD20240164,2024-01-02,华北,北京,家具,人体工学椅,20,1586.59,31731.8,钱七
ORD20240486,2024-01-02,华东,苏州,办公用品,订书机,12,23.27,279.24,周九
ORD20240048,2024-01-02,华南,广州,电子产品,显示器,2,1279.04,2558.08,孙八
ORD20240435,2024-01-02,华北,天津,电子产品,笔记本电脑,17,5201.24,88421.08,张三
ORD20240356,2024-01-03,华北,石家庄,家具,书柜,3,583.28,1749.84,钱七
ORD20240363,2024-01-04,华中,郑州,电子产品,显示器,10,1105.67,11056.7,周九
ORD20240042,2024-01-05,西南,成都,办公用品,文件夹,3,11.9,35.7,吴十
ORD20240339,2024-01-05,华东,苏州,电子产品,手机,5,3471.66,17358.3,赵六
ORD20240090,2024-01-07,华中,长沙,办公用品,文件夹,11,10.97,120.67,杭州锐意
ORD20240033,2024-01-08,华东,苏州,办公用品,打印纸,18,31.85,573.3,李四
ORD20240297,2024-01-08,华东,南京,电子产品,显示器,6,1235.59,7413.54,成都天启
ORD20240424,2024-01-09,华中,郑州,电子产品,显示器,3,1309.07,3927.21,上海智远
ORD20240407,2024-01-09,西南,重庆,办公用品,打印纸,15,31.82,477.3,李四
ORD20240021,2024-01-10,华北,天津,电子产品,笔记本电脑,16,5608.84,89741.44,李四
ORD20240223,2024-01-10,华北,石家庄,家具,沙发,3,3069.21,9207.63,钱七
ORD20240162,2024-01-11,西南,成都,办公用品,签字笔,20,5.14,102.8,张三
ORD20240379,2024-01-12,西南,重庆,电子产品,平板,4,2363.24,9452.96,杭州锐意
ORD20240068,2024-01-13,华北,石家庄,家具,人体工学椅,5,1591.97,7959.85,张三
ORD20240441,2024-01-13,华中,长沙,电子产品,手机,14,3534.43,49482.02,赵六
ORD20240462,2024-01-14,西南,重庆,办公用品,文件夹,6,11.73,70.38,孙八
ORD20240181,2024-01-15,西南,昆明,办公用品,打印纸,9,35.76,321.84,王五
ORD20240084,2024-01-16,华中,武汉,家具,人体工学椅,2,1545.04,3090.08,赵六
ORD20240452,2024-01-16,华中,武汉,办公用品,文件夹,6,11.42,68.52,周九
ORD20240159,2024-01-17,华东,苏州,办公用品,订书机,9,27.2,244.8,成都天启
ORD20240279,2024-01-17,华中,郑州,办公用品,订书机,8,23.24,185.92,上海智远
ORD20240121,2024-01-19,西南,重庆,办公用品,订书机,18,26.57,478.26,吴十
